CustID,Gender,AgeGroup,Purchase_Last_Quarter,Unique_Products_Purchased,Response_to_Campaign
100084,Male,>50,No,6,Yes
100085,Female,30-50,No,3,No
100086,Female,30-50,No,2,No
100087,Male,<30,Yes,13,Yes
100088,Male,<30,Yes,10,No
100089,Male,>50,Yes,7,Yes
100090,Male,<30,Yes,5,No
100091,Female,>50,Yes,13,Yes
100092,Female,30-50,Yes,8,No
100093,Male,30-50,No,7,No
100094,Female,30-50,Yes,6,No
100095,Female,>50,No,7,No
100096,Female,30-50,Yes,8,No
100097,Male,30-50,Yes,15,Yes
100098,Male,30-50,Yes,8,Yes
100099,Male,>50,Yes,13,Yes
100100,Male,>50,No,6,No
100101,Female,30-50,Yes,7,No
100102,Female,<30,Yes,7,Yes
100103,Male,<30,Yes,6,Yes
100104,Male,>50,Yes,14,No
100105,Male,30-50,No,4,No
100106,Female,>50,No,2,No
100107,Female,30-50,Yes,9,Yes
100108,Female,>50,Yes,5,No
100109,Female,30-50,Yes,7,No
100110,Male,30-50,Yes,5,Yes
100111,Male,30-50,No,3,No
100112,Male,>50,Yes,12,Yes
100113,Male,30-50,Yes,8,No
100114,Female,>50,No,4,No
100115,Male,30-50,No,5,No
100116,Female,<30,Yes,8,Yes
100117,Female,<30,Yes,15,Yes
100118,Female,30-50,No,3,No
100119,Male,>50,No,1,No
100120,Female,>50,No,7,No
100121,Female,30-50,Yes,8,No
100122,Male,30-50,Yes,10,No
100123,Male,30-50,Yes,15,Yes
100124,Female,30-50,Yes,9,Yes
100125,Female,30-50,Yes,7,Yes
100126,Female,30-50,Yes,8,Yes
100127,Male,30-50,Yes,5,No
100128,Female,<30,No,5,No
100129,Female,>50,No,1,No
100130,Male,30-50,Yes,7,Yes
100131,Female,<30,No,6,No
100132,Male,<30,No,3,No
100133,Female,30-50,Yes,10,Yes
100134,Female,30-50,Yes,15,No
100135,Female,>50,Yes,14,No
100136,Male,30-50,No,1,No
100137,Female,>50,Yes,7,No
100138,Male,<30,No,3,No
100139,Female,<30,Yes,6,Yes
100140,Female,<30,Yes,11,No
100141,Male,30-50,No,3,No
100142,Male,30-50,No,3,Yes
100143,Female,30-50,Yes,7,Yes
100144,Female,>50,Yes,14,Yes
100145,Female,30-50,No,5,No
100146,Female,30-50,No,2,Yes
100147,Female,30-50,Yes,8,No
100148,Male,30-50,Yes,10,No
100149,Female,>50,No,6,Yes
100150,Female,30-50,No,6,Yes
100151,Male,>50,Yes,15,No
100152,Female,30-50,No,4,No
100153,Male,>50,No,2,No
100154,Male,30-50,Yes,10,No
100155,Female,>50,No,3,No
100156,Male,30-50,No,5,Yes
100157,Female,30-50,Yes,8,Yes
100158,Female,30-50,Yes,10,Yes
100159,Female,<30,No,6,No
100160,Female,>50,Yes,11,Yes
100161,Female,>50,Yes,10,No
100162,Female,30-50,No,4,No
100163,Female,30-50,No,1,Yes
100164,Male,30-50,Yes,14,Yes
100165,Female,30-50,Yes,14,Yes
100166,Female,30-50,Yes,12,Yes
100167,Male,30-50,No,6,No
100168,Female,30-50,Yes,10,No
100169,Female,30-50,Yes,7,No
100170,Female,30-50,Yes,14,Yes
100171,Female,30-50,Yes,14,Yes
100172,Male,>50,Yes,9,Yes
100173,Female,>50,Yes,9,Yes
100174,Female,>50,No,1,Yes
100175,Female,>50,No,2,No
100176,Male,>50,No,6,No
100177,Male,>50,No,7,Yes
100178,Male,<30,Yes,13,Yes
100179,Male,<30,Yes,10,No
100180,Female,30-50,Yes,11,Yes
100181,Female,30-50,Yes,10,No
100182,Male,<30,Yes,8,Yes
100183,Male,30-50,No,1,No
100184,Female,>50,Yes,14,No
100185,Female,30-50,Yes,13,Yes
100186,Female,<30,Yes,6,No
100187,Male,30-50,Yes,14,No
100188,Female,>50,Yes,13,No
100189,Female,30-50,Yes,11,Yes
100190,Female,30-50,No,5,No
100191,Male,>50,Yes,12,No
100192,Female,>50,Yes,6,No
100193,Male,30-50,Yes,9,Yes
100194,Female,<30,Yes,5,Yes
100195,Male,>50,Yes,8,Yes
100196,Female,30-50,No,7,No
100197,Male,<30,No,3,No
100198,Female,30-50,No,6,Yes
100199,Female,30-50,Yes,6,Yes
100200,Male,30-50,Yes,7,Yes
100201,Female,30-50,Yes,7,Yes
100202,Male,30-50,Yes,13,Yes
100203,Female,>50,Yes,14,No
100204,Female,30-50,No,2,No
100205,Female,30-50,No,4,No
100206,Female,30-50,Yes,14,No
100207,Male,30-50,Yes,7,No
100208,Female,30-50,No,5,No
100209,Female,30-50,Yes,13,No
100210,Male,30-50,Yes,5,No
100211,Female,<30,Yes,8,No
100212,Female,30-50,Yes,7,No
100213,Female,<30,No,5,No
100214,Female,>50,Yes,10,Yes
100215,Female,<30,No,6,Yes
100216,Female,>50,Yes,5,Yes
100217,Male,30-50,No,5,No
100218,Male,<30,Yes,12,No
100219,Female,30-50,No,6,Yes
100220,Male,>50,Yes,14,No
100221,Female,<30,Yes,6,No
100222,Female,>50,Yes,8,No
100223,Male,30-50,No,2,No
100224,Female,>50,Yes,14,No
100225,Female,30-50,No,7,No
100226,Male,<30,Yes,14,Yes
100227,Female,30-50,No,1,No
100228,Female,30-50,Yes,10,Yes
100229,Male,<30,Yes,10,No
100230,Male,30-50,No,4,No
100231,Male,<30,No,3,No
100232,Male,30-50,Yes,11,No
100233,Male,<30,No,5,No
100234,Female,30-50,Yes,9,No
100235,Female,<30,No,5,Yes
100236,Male,>50,No,6,Yes
100237,Male,>50,No,1,No
100238,Female,30-50,Yes,11,No
100239,Female,30-50,Yes,12,No
100240,Female,30-50,Yes,9,Yes
100241,Male,30-50,No,5,No
100242,Female,30-50,Yes,11,No
100243,Female,<30,No,4,No
100244,Male,30-50,No,6,No
100245,Male,30-50,No,3,No
100246,Female,<30,No,1,No
100247,Female,30-50,Yes,11,No
100248,Male,<30,Yes,12,Yes
100249,Female,30-50,Yes,15,Yes
100250,Female,30-50,No,4,Yes
100251,Male,30-50,Yes,6,No
100252,Female,30-50,Yes,13,Yes
100253,Female,30-50,No,7,Yes
100254,Female,30-50,Yes,5,Yes
100255,Male,>50,Yes,9,No
100256,Female,>50,No,5,No
100257,Female,>50,Yes,7,No
100258,Female,<30,Yes,12,No
100259,Male,>50,Yes,9,No
100260,Male,<30,Yes,10,No
100261,Female,<30,Yes,15,Yes
100262,Male,<30,Yes,7,Yes
100263,Female,>50,Yes,11,Yes
100264,Male,<30,Yes,7,No
100265,Male,30-50,Yes,11,Yes
100266,Male,30-50,Yes,8,No
100267,Male,30-50,Yes,10,Yes
100268,Male,30-50,Yes,7,No
100269,Male,30-50,Yes,6,No
100270,Female,30-50,No,2,Yes
100271,Male,30-50,Yes,10,No
100272,Male,30-50,Yes,13,Yes
100273,Male,<30,Yes,6,Yes
100274,Male,>50,Yes,5,No
100275,Female,30-50,No,1,Yes
100276,Male,30-50,Yes,12,Yes
100277,Female,30-50,Yes,8,Yes
100278,Male,30-50,Yes,13,No
100279,Female,<30,Yes,6,Yes
100280,Male,30-50,Yes,5,Yes
100281,Female,<30,Yes,13,Yes
100282,Male,>50,Yes,9,No
100283,Male,30-50,Yes,10,Yes
100284,Female,<30,Yes,8,No
100285,Male,30-50,Yes,12,No
100286,Female,<30,Yes,8,No
100287,Female,30-50,Yes,15,Yes
100288,Female,>50,Yes,14,No
100289,Female,30-50,No,7,No
100290,Female,<30,No,1,No
100291,Female,30-50,Yes,11,Yes
100292,Female,<30,Yes,10,Yes
100293,Male,30-50,No,4,No
100294,Female,>50,Yes,7,Yes
100295,Male,>50,Yes,6,No
100296,Female,<30,No,2,No
100297,Female,30-50,Yes,5,Yes
100298,Female,<30,Yes,12,Yes
100299,Male,30-50,Yes,12,No
100300,Female,30-50,Yes,7,Yes
100301,Male,30-50,No,3,No
100302,Female,<30,Yes,5,No
100303,Male,30-50,Yes,12,Yes
100304,Male,30-50,Yes,12,Yes
100305,Male,<30,No,2,No
100306,Female,30-50,Yes,11,Yes
100307,Male,>50,Yes,6,Yes
100308,Female,30-50,Yes,14,Yes
100309,Female,30-50,Yes,6,Yes
100310,Male,<30,Yes,13,Yes
100311,Female,30-50,Yes,15,No
100312,Female,30-50,Yes,5,No
100313,Male,<30,Yes,12,No
100314,Female,30-50,Yes,7,No
100315,Female,>50,Yes,9,No
100316,Female,30-50,No,5,Yes
100317,Female,<30,Yes,9,Yes
100318,Female,30-50,Yes,10,No
100319,Female,30-50,No,1,Yes
100320,Female,30-50,Yes,15,No
100321,Male,>50,Yes,7,No
100322,Female,<30,Yes,12,Yes
100323,Female,30-50,Yes,15,Yes
100324,Male,30-50,No,3,No
100325,Male,30-50,No,3,No
100326,Female,>50,No,4,Yes
100327,Male,30-50,Yes,7,No
100328,Female,30-50,Yes,15,Yes
100329,Male,>50,No,3,No
100330,Female,<30,No,5,No
100331,Female,<30,No,3,No
100332,Female,>50,No,3,No
100333,Female,30-50,Yes,8,Yes
100334,Female,30-50,No,1,No
100335,Male,<30,No,7,No
100336,Male,<30,Yes,15,No
100337,Male,>50,Yes,10,No
100338,Female,<30,Yes,7,No
100339,Male,30-50,No,6,No
100340,Male,<30,Yes,10,No
100341,Female,<30,No,2,No
100342,Female,30-50,Yes,8,Yes
100343,Male,>50,No,1,No
100344,Female,30-50,Yes,14,Yes
100345,Male,>50,No,4,No
100346,Male,30-50,Yes,15,No
100347,Male,30-50,Yes,8,No
100348,Male,<30,No,6,No
100349,Female,>50,No,7,Yes
100350,Female,<30,Yes,13,Yes
100351,Female,30-50,Yes,11,Yes
100352,Female,30-50,Yes,14,Yes
100353,Female,<30,No,2,No
100354,Male,>50,Yes,8,No
100355,Male,>50,Yes,9,Yes
100356,Male,<30,Yes,11,Yes
100357,Male,30-50,No,1,No
100358,Male,>50,Yes,10,No
100359,Female,30-50,Yes,7,Yes
100360,Male,>50,Yes,13,No
100361,Female,<30,No,3,No
100362,Male,<30,No,3,No
100363,Female,<30,Yes,7,Yes
100364,Male,<30,No,1,No
100365,Male,<30,Yes,10,No
100366,Female,<30,Yes,9,No
100367,Female,>50,Yes,7,No
100368,Male,>50,Yes,15,Yes
100369,Female,<30,Yes,15,No
100370,Female,<30,No,6,No
100371,Female,30-50,Yes,7,No
100372,Female,30-50,Yes,7,Yes
100373,Male,30-50,Yes,13,No
100374,Female,<30,Yes,12,No
100375,Female,30-50,Yes,11,No
100376,Male,<30,No,2,No
100377,Female,>50,Yes,6,No
100378,Female,>50,No,6,No
100379,Female,30-50,Yes,6,Yes
100380,Male,<30,No,3,No
100381,Male,30-50,No,3,No
100382,Female,<30,Yes,5,No
100383,Female,<30,No,5,No
100384,Female,<30,Yes,13,No
100385,Female,30-50,Yes,6,No
100386,Male,30-50,Yes,6,Yes
100387,Female,30-50,No,5,No
100388,Female,30-50,Yes,5,No
100389,Female,30-50,Yes,12,No
100390,Male,30-50,Yes,6,Yes
100391,Male,>50,Yes,7,No
100392,Male,30-50,No,7,Yes
100393,Female,>50,Yes,6,Yes
100394,Female,<30,No,4,No
100395,Male,>50,Yes,11,Yes
100396,Male,30-50,Yes,9,No
100397,Male,>50,Yes,5,No
100398,Female,>50,Yes,6,Yes
100399,Male,<30,No,1,No
100400,Female,>50,No,1,No
100401,Female,30-50,No,4,Yes
100402,Male,>50,Yes,12,No
100403,Female,30-50,No,7,Yes
100404,Male,30-50,Yes,13,No
100405,Female,<30,Yes,12,Yes
100406,Male,30-50,Yes,5,Yes
100407,Female,30-50,Yes,13,No
100408,Female,<30,No,4,No
100409,Female,<30,No,7,No
100410,Male,30-50,Yes,9,No
100411,Male,30-50,No,7,No
100412,Male,>50,No,4,No
100413,Female,30-50,No,1,No
100414,Female,<30,No,2,No
100415,Male,<30,Yes,11,No
100416,Female,30-50,Yes,8,Yes
100417,Male,30-50,Yes,11,No
100418,Male,30-50,Yes,7,Yes
100419,Male,30-50,Yes,6,No
100420,Female,<30,Yes,5,Yes
100421,Female,30-50,No,7,No
100422,Male,<30,No,4,No
100423,Female,30-50,Yes,12,No
100424,Female,<30,Yes,10,Yes
100425,Male,30-50,No,3,No
100426,Female,30-50,Yes,5,No
100427,Female,30-50,No,1,No
100428,Female,30-50,Yes,6,No
100429,Female,30-50,Yes,11,Yes
100430,Female,30-50,Yes,13,Yes
100431,Male,30-50,Yes,13,No
100432,Male,>50,No,4,No
100433,Male,>50,Yes,7,Yes
100434,Male,30-50,Yes,10,No
100435,Male,<30,No,3,No
100436,Male,<30,No,6,No
100437,Female,30-50,No,6,No
100438,Male,<30,No,3,No
100439,Female,>50,Yes,5,No
100440,Female,<30,Yes,13,Yes
100441,Female,30-50,Yes,5,Yes
100442,Male,<30,Yes,8,No
100443,Female,30-50,No,1,No
100444,Male,>50,Yes,11,No
100445,Male,30-50,Yes,7,Yes
100446,Female,30-50,No,3,No
100447,Female,30-50,Yes,11,No
100448,Male,30-50,Yes,13,Yes
100449,Female,30-50,No,1,No
100450,Male,>50,Yes,5,No
100451,Male,>50,Yes,7,Yes
100452,Female,>50,No,5,Yes
100453,Female,>50,Yes,12,No
100454,Female,30-50,Yes,5,Yes
100455,Female,<30,No,7,No
100456,Male,30-50,Yes,5,Yes
100457,Male,30-50,Yes,15,Yes
100458,Male,<30,Yes,9,No
100459,Female,30-50,No,3,No
100460,Female,30-50,No,3,No
100461,Female,<30,Yes,14,No
100462,Male,>50,No,7,No
100463,Female,30-50,No,3,No
100464,Female,30-50,Yes,5,Yes
100465,Female,<30,Yes,9,No
100466,Male,30-50,Yes,15,No
100467,Female,30-50,Yes,8,Yes
100468,Male,30-50,Yes,11,No
100469,Male,30-50,Yes,11,No
100470,Female,30-50,Yes,12,Yes
100471,Male,30-50,Yes,14,Yes
100472,Female,30-50,No,1,No
100473,Male,<30,No,4,No
100474,Male,30-50,No,3,No
100475,Female,30-50,No,5,Yes
100476,Male,30-50,Yes,8,Yes
100477,Female,30-50,Yes,12,Yes
100478,Male,30-50,No,7,No
100479,Female,30-50,Yes,8,No
100480,Male,30-50,Yes,11,Yes
100481,Male,30-50,No,3,No
100482,Female,<30,Yes,14,Yes
100483,Female,30-50,Yes,11,Yes
100484,Female,30-50,No,2,Yes
100485,Male,30-50,No,3,No
100486,Male,<30,Yes,13,No
100487,Female,<30,Yes,14,No
100488,Male,30-50,Yes,11,Yes
100489,Female,30-50,Yes,11,Yes
100490,Male,30-50,Yes,11,No
100491,Female,30-50,Yes,6,No
100492,Female,30-50,Yes,15,Yes
100493,Female,30-50,Yes,11,Yes
100494,Male,30-50,Yes,13,Yes
100495,Male,<30,No,3,No
100496,Female,>50,Yes,11,Yes
100497,Female,<30,Yes,11,No
100498,Female,30-50,Yes,5,Yes
100499,Female,30-50,Yes,8,Yes
100500,Female,30-50,No,7,Yes
100501,Male,30-50,Yes,8,Yes
100502,Male,30-50,Yes,12,Yes
100503,Female,30-50,Yes,14,Yes
100504,Male,30-50,No,4,No
100505,Female,<30,Yes,8,No
100506,Female,<30,Yes,10,Yes
100507,Female,<30,Yes,12,No
100508,Male,<30,No,4,No
100509,Female,30-50,Yes,8,No
100510,Female,<30,Yes,9,Yes
100511,Female,<30,No,4,No
100512,Female,30-50,No,3,No
100513,Female,30-50,Yes,8,Yes
100514,Male,>50,Yes,15,No
100515,Male,30-50,Yes,10,Yes
100516,Female,<30,Yes,5,Yes
100517,Female,30-50,No,7,Yes
100518,Female,30-50,Yes,12,Yes
100519,Male,30-50,No,1,No
100520,Female,30-50,Yes,10,No
100521,Female,>50,No,3,No
100522,Female,<30,Yes,6,No
100523,Female,>50,Yes,5,No
100524,Male,<30,Yes,10,No
100525,Male,>50,Yes,13,No
100526,Male,30-50,No,4,No
100527,Male,<30,No,1,Yes
100528,Male,30-50,Yes,12,No
100529,Female,>50,Yes,13,Yes
100530,Female,30-50,Yes,12,No
100531,Male,30-50,No,4,No
100532,Female,30-50,No,2,No
100533,Female,>50,Yes,13,Yes
100534,Male,30-50,Yes,13,No
100535,Female,30-50,Yes,13,No
100536,Male,30-50,Yes,11,Yes
100537,Male,<30,Yes,11,Yes
100538,Female,>50,Yes,6,Yes
100539,Female,30-50,Yes,9,Yes
100540,Female,30-50,No,5,No
100541,Male,>50,No,4,No
100542,Female,>50,No,6,Yes
100543,Female,30-50,No,1,No
100544,Female,30-50,Yes,7,Yes
100545,Male,<30,Yes,8,No
100546,Female,30-50,Yes,13,Yes
100547,Female,<30,Yes,14,Yes
100548,Male,<30,No,6,No
100549,Female,>50,No,1,No
100550,Female,<30,Yes,13,Yes
100551,Female,<30,Yes,13,No
100552,Male,<30,Yes,9,Yes
100553,Female,30-50,No,5,No
100554,Female,>50,No,2,No
100555,Male,30-50,No,5,No
100556,Female,>50,Yes,9,Yes
100557,Male,30-50,Yes,12,Yes
100558,Female,<30,Yes,6,Yes
100559,Male,30-50,No,2,No
100560,Male,30-50,Yes,8,Yes
100561,Female,30-50,No,6,No
100562,Male,30-50,Yes,15,Yes
100563,Female,>50,No,2,No
100564,Female,<30,Yes,7,No
100565,Female,>50,No,1,Yes
100566,Female,>50,Yes,9,No
100567,Male,30-50,Yes,8,Yes
100568,Male,<30,Yes,6,No
100569,Female,<30,Yes,11,Yes
100570,Female,30-50,Yes,11,Yes
100571,Female,30-50,No,3,Yes
100572,Male,>50,Yes,14,No
100573,Male,30-50,No,3,No
100574,Female,30-50,Yes,12,Yes
100575,Female,30-50,Yes,10,No
100576,Female,<30,No,3,Yes
100577,Female,<30,No,2,No
100578,Female,>50,No,2,No
100579,Female,30-50,Yes,13,Yes
100580,Female,<30,No,6,Yes
100581,Female,>50,Yes,7,Yes
100582,Female,>50,No,7,No
100583,Female,30-50,No,1,No
100584,Female,<30,No,7,No
100585,Female,30-50,Yes,5,No
100586,Female,30-50,Yes,10,No
100587,Male,>50,Yes,12,Yes
100588,Female,>50,Yes,10,Yes
100589,Female,30-50,Yes,9,No
100590,Male,<30,Yes,15,No
100591,Female,>50,Yes,12,Yes
100592,Female,>50,Yes,11,Yes
100593,Female,30-50,Yes,11,Yes
100594,Male,30-50,Yes,12,Yes
100595,Female,30-50,Yes,14,No
100596,Female,30-50,Yes,11,Yes
100597,Female,<30,Yes,7,Yes
100598,Female,<30,Yes,12,Yes
100599,Male,30-50,No,3,No
100600,Male,30-50,Yes,14,Yes
100601,Female,30-50,Yes,13,No
100602,Female,>50,No,4,No
100603,Female,30-50,Yes,7,Yes
100604,Female,<30,Yes,15,Yes
100605,Female,<30,No,2,No
100606,Female,30-50,No,2,No
100607,Female,30-50,No,2,No
100608,Male,<30,No,4,No
100609,Male,<30,Yes,5,No
100610,Male,30-50,No,4,No
100611,Female,>50,No,5,No
100612,Male,30-50,No,4,No
100613,Female,<30,No,7,No
100614,Female,30-50,Yes,5,Yes
100615,Male,<30,No,4,No
100616,Male,30-50,Yes,9,No
100617,Male,<30,Yes,9,No
100618,Female,30-50,No,5,Yes
100619,Female,30-50,Yes,10,Yes
100620,Male,30-50,Yes,8,Yes
100621,Female,>50,Yes,9,Yes
100622,Female,30-50,Yes,12,No
100623,Female,30-50,Yes,7,Yes
100624,Female,30-50,Yes,6,Yes
100625,Female,30-50,Yes,14,Yes
100626,Male,30-50,Yes,5,No
100627,Female,<30,Yes,5,No
100628,Female,30-50,Yes,9,Yes
100629,Male,<30,Yes,6,No
100630,Male,30-50,Yes,10,No
100631,Female,30-50,Yes,6,No
100632,Male,<30,No,7,No
100633,Male,30-50,No,7,Yes
100634,Female,>50,Yes,15,Yes
100635,Female,<30,Yes,15,No
100636,Female,30-50,Yes,9,Yes
100637,Male,30-50,No,6,No
100638,Female,<30,Yes,14,No
100639,Female,30-50,Yes,14,Yes
100640,Male,30-50,Yes,15,No
100641,Male,30-50,Yes,15,Yes
100642,Female,30-50,Yes,5,Yes
100643,Female,30-50,Yes,10,Yes
100644,Female,>50,No,7,No
100645,Male,30-50,Yes,8,Yes
100646,Male,>50,Yes,13,No
100647,Female,30-50,No,4,No
100648,Female,30-50,No,4,Yes
100649,Female,<30,No,2,No
100650,Male,<30,Yes,9,No
100651,Male,30-50,No,5,No
100652,Male,30-50,Yes,15,No
100653,Male,>50,No,2,No
100654,Female,30-50,No,4,No
100655,Female,30-50,Yes,8,No
100656,Male,30-50,No,4,No
100657,Male,>50,Yes,9,No
100658,Female,30-50,Yes,15,Yes
100659,Female,30-50,No,5,No
100660,Female,<30,Yes,7,No
100661,Male,>50,Yes,12,Yes
100662,Female,30-50,Yes,12,Yes
100663,Male,30-50,Yes,15,Yes
100664,Female,30-50,Yes,15,Yes
100665,Female,30-50,Yes,10,Yes
100666,Female,<30,Yes,9,No
100667,Female,<30,Yes,11,No
100668,Female,>50,Yes,12,No
100669,Female,>50,No,4,Yes
100670,Female,>50,No,5,No
100671,Male,30-50,No,3,No
100672,Male,>50,Yes,13,No
100673,Female,<30,Yes,14,Yes
100674,Female,<30,No,3,Yes
100675,Male,>50,No,5,No
100676,Male,>50,No,5,No
100677,Female,>50,Yes,6,No
100678,Male,30-50,Yes,6,No
100679,Female,<30,Yes,10,Yes
100680,Female,30-50,No,7,Yes
100681,Female,30-50,Yes,14,No
100682,Male,30-50,Yes,10,Yes
100683,Female,<30,Yes,11,Yes
100684,Female,30-50,Yes,14,Yes
100685,Male,30-50,No,2,No
100686,Female,30-50,Yes,13,Yes
100687,Female,30-50,Yes,8,Yes
100688,Female,30-50,Yes,13,No
100689,Male,30-50,No,6,No
100690,Male,30-50,Yes,10,Yes
100691,Male,30-50,Yes,14,No
100692,Female,>50,No,1,No
100693,Male,>50,Yes,15,No
100694,Female,>50,No,6,Yes
100695,Female,>50,Yes,9,Yes
100696,Female,>50,Yes,7,Yes
100697,Female,30-50,Yes,9,No
100698,Male,<30,Yes,8,Yes
100699,Female,<30,Yes,13,No
100700,Female,30-50,Yes,13,Yes
100701,Female,<30,No,6,No
100702,Male,30-50,Yes,12,Yes
100703,Female,<30,Yes,13,Yes
100704,Male,30-50,Yes,9,Yes
100705,Female,>50,Yes,8,Yes
100706,Male,30-50,No,4,No
100707,Female,30-50,No,3,No
100708,Female,>50,Yes,11,Yes
100709,Female,30-50,No,5,Yes
100710,Male,>50,No,1,No
100711,Female,>50,No,6,Yes
100712,Female,<30,Yes,6,No
100713,Female,30-50,No,7,Yes
100714,Male,>50,No,3,No
100715,Female,<30,Yes,10,No
100716,Female,<30,Yes,12,Yes
100717,Male,30-50,Yes,12,Yes
100718,Female,<30,Yes,12,Yes
100719,Male,30-50,Yes,5,Yes
100720,Male,<30,No,6,No
100721,Female,30-50,Yes,8,Yes
100722,Female,30-50,No,5,Yes
100723,Female,>50,Yes,9,Yes
100724,Male,30-50,No,2,No
100725,Female,30-50,Yes,10,No
100726,Female,30-50,No,6,No
100727,Male,>50,Yes,6,No
100728,Female,>50,Yes,13,No
100729,Male,30-50,Yes,12,No
100730,Male,30-50,Yes,11,No
100731,Female,30-50,Yes,11,No
100732,Female,30-50,Yes,11,Yes
100733,Male,30-50,Yes,9,Yes
100734,Male,30-50,No,1,No
100735,Female,30-50,Yes,10,No
100736,Female,30-50,No,3,No
100737,Female,30-50,No,6,Yes
100738,Male,30-50,No,4,No
100739,Male,>50,No,3,No
100740,Female,30-50,Yes,5,Yes
100741,Female,30-50,No,6,No
100742,Female,>50,Yes,11,No
100743,Female,30-50,Yes,7,No
100744,Female,>50,Yes,7,No
100745,Female,30-50,No,3,No
100746,Female,>50,Yes,8,Yes
100747,Female,>50,No,2,No
100748,Female,30-50,Yes,8,Yes
100749,Female,30-50,Yes,14,No
100750,Female,<30,Yes,5,Yes
100751,Male,>50,Yes,13,No
100752,Male,>50,Yes,14,Yes
100753,Male,30-50,Yes,7,No
100754,Female,30-50,Yes,6,No
100755,Male,30-50,Yes,6,No
100756,Female,>50,No,3,No
100757,Male,<30,No,5,No
100758,Female,<30,Yes,9,Yes
100759,Female,>50,No,4,No
100760,Female,<30,Yes,5,Yes
100761,Female,>50,Yes,8,Yes
100762,Female,30-50,No,7,No
100763,Female,30-50,No,3,Yes
100764,Female,>50,No,4,No
100765,Female,<30,Yes,14,Yes
100766,Female,<30,Yes,15,Yes
100767,Male,30-50,Yes,8,Yes
100768,Female,<30,Yes,7,No
100769,Male,<30,Yes,12,No
100770,Female,<30,No,4,No
100771,Female,<30,Yes,13,No
100772,Male,30-50,Yes,8,No
100773,Male,<30,Yes,5,No
100774,Female,>50,Yes,10,Yes
100775,Female,<30,Yes,13,No
100776,Male,30-50,Yes,10,Yes
100777,Male,30-50,No,4,No
100778,Male,30-50,Yes,9,No
100779,Female,30-50,Yes,14,Yes
100780,Female,30-50,Yes,13,No
100781,Female,30-50,Yes,9,No
100782,Female,<30,Yes,5,Yes
100783,Male,30-50,Yes,9,Yes
100784,Male,30-50,No,7,No
100785,Male,30-50,Yes,8,Yes
100786,Female,30-50,Yes,15,Yes
